STT,Câu hỏi,Chương,A,B,C,D
319,Đâu là một trong những yếu tố chính cần xem xét khi thiết kế kiến trúc của một hệ thống doanh nghiệp?,3.1,[x]Thời gian phản hồi của người dùng,[]Chi phí phát triển ban đầu,[]Quản lý dự án hiệu quả,[]Sức mạnh xử lý của máy chủ
320,"Trong việc xác định kiến trúc hệ thống, khái niệm nào mô tả sự chia nhỏ của hệ thống thành các thành phần nhỏ hơn để dễ dàng quản lý?",3.1,[x]Modularization (Modular hóa),[]Abstraction (Trừu tượng hóa),[]Decentralization (Phân tán),[]Homogenization (Đồng nhất hóa)
321,"Theo kiến thức về kiến trúc doanh nghiệp, điều gì làm nên một kiến trúc hệ thống thành công?",3.1,[x]Sự linh hoạt và mở rộng,[]Sự tối ưu hóa chi phí,[]Sự đồng nhất của công nghệ,[]Sự tập trung vào giao diện người dùng
322,Enterprise Architecture (EA) là gì?,3.1,[]Công nghệ thông tin trong doanh nghiệp,[x]Phương pháp quản lý tổng thể của doanh nghiệp,[]Thiết kế các ứng dụng di động,[] Tất cả các phương án trên
323,Lợi ích chính của việc triển khai Kiến trúc Doanh nghiệp(EA) là gì?,3.1,[]Tăng cường tính linh hoạt và khả năng đổi mới,[]Giảm chi phí và tăng hiệu quả,[x]Cả hai A và B,[]Không có lợi ích gì đặc biệt
324,Có bao nhiêu lĩnh vực kiến trúc domain of EA được chính thức đề xuất,3.1,4,3,2,1
325,Đâu không phải là 1 EA framework ?,3.1,[x]BADAF,[]TOGAF,[]MODAF,[]Zachman
326,Đâu không phải là miền kiến trúc của TOGAF,3.1,[x]Software Architecture,[]Business Architeture,[]Data Architecture,[]TechnologyArchitec
327,"Trong TOGAF , một ví dụ về artifacts là gì",3.1,[x]Architecture vision document,[]UML,[]Scrum Board,[]SQL
328,Phát biểu nào sau đây là đúng về hệ thống thông tin (HTTT) và công nghệ thông tin (CNTT) trong doanh nghiệp?,4.1,[x] CNTT là một phần của HTTT,[x] CNTT bao gồm phần cứng và phần mềm,[] HTTT là một phần của CNTT,"[] CNTT bao gồm phần cứng, phần mềm và con người"
329,Hệ điều hành Windows là một ví dụ về thành phần nào của hệ thống thông tin?,4.1,[]Phần cứng,[x]Phần mềm,[]Dữ liệu,[]Thủ tục
330,Vai trò của Kiến trúc ứng dụng trong hệ thống thông tin là?,4.1,[x] Mô tả cấu trúc các ứng dụng,[] Định nghĩa dữ liệu của doanh nghiệp,[] Xác định cơ sở hạ tầng công nghệ,[] Tạo bản đồ quan hệ giữa các thực thể
331,Tại sao Kiến trúc Hệ thống thông tin ISA được xem là thuận lợi cho việc chia sẻ thông tin đơn vị kinh doanh trong tổ chức?,4.1,"[x] Vì các mô hình được phát triển từ 
quan điểm toàn doanh nghiệp","[] Dễ dàng tích hợp dữ liệu 
của công ty vào môi trường hệ thống","[] Cung cấp “ lộ trình ” phân tích , thiết kế và thực hiện","[] Thông qua  Mô hình Dữ liệu Doanh nghiệp đánh giá hoạt động hiện có
và lập kế hoạch tái thiết kế thành dữ liệu cấu trúc tích hợp"
332,Hệ thống thông tin (IS) đóng vai trò quan trọng trong việc nào sau đây?,4.1,[x] Cung cấp thông tin để hỗ trợ quản lý và ra quyết định kinh doanh,[ ] Chỉ cung cấp dịch vụ cho khách hàng,[ ] Chỉ hỗ trợ quản lý nguồn nhân lực,[ ] Chỉ thu thập dữ liệu từ một nguồn duy nhất
333,Các thành phần cơ bản của hệ thống thông tin (IS) bao gồm những gì?,4.1,"[x] Cơ sở dữ liệu, phần mềm ứng dụng, phần cứng máy tính, người sử dụng và quy trình",[ ] Chỉ người sử dụng,[ ] Chỉ cơ sở dữ liệu,[ ] Chỉ phần mềm ứng dụng
334,Kiến trúc ứng dụng là gì?,4.1,[x] Một bản thiết kế cung cấp hướng dẫn về cách các thành phần phần mềm kết hợp với nhau,[ ] Một loại phần mềm chỉ có thể chạy trên thiết bị di động,[ ] Chỉ mô tả về việc sử dụng các ứng dụng web,[ ] Đơn giản là giao diện người dùng của các ứng dụng
335,Mục tiêu chính của kiến trúc ứng dụng là gì?,4.1,[x] Hỗ trợ mô tả cách các thành phần phần mềm liên kết và hoạt động cùng nhau để đáp ứng mục tiêu kinh doanh,[ ] Đơn giản là tạo ra các ứng dụng có giao diện đẹp,[ ] Chỉ xác định ngôn ngữ lập trình sẽ được sử dụng,[ ] Chỉ tối ưu hóa hiệu suất phần cứng
336,Các yếu tố quan trọng trong kiến trúc ứng dụng bao gồm:,4.1,"[x] Tính linh hoạt, hiệu suất, bảo mật, tính mô-đun và tương tác người dùng",[ ] Chỉ tính linh hoạt,[ ] Chỉ hiệu suất cao,[ ] Chỉ tốc độ xử lý nhanh
337,Đâu không phải nhược điểm của hệ thống ERP?,8.1,[] Chi phí chuyển đổi dữ liệu,[x] Không cần đào tạo,[] Bảo trì,[] Chi phí hệ thống
338,Đâu là phân loại e-commerce theo bản chất của giao dịch?,10.1,[] Doanh nghiệp với doanh nghiệp (B2B),[] Doanh nghiệp với người tiêu dùng (B2C),[] Người tiêu dùng với người tiêu dùng (C2C),[x] Tất cả phương án trên
339,Đâu không phải là một nền tảng tương mại điện tử?,10.1,[x] SaaS,[] Bigcommerce,[] Shopify,[] Magento
340,Các bước triển khai EA nào sau đây là đúng?,3.2,[X]Khởi tạo => Hiện trạng => Phát triển kiến trúc mục tiêu => Kế hoạch chuyển đổi kiến trúc => Kế hoạch thực hiện,[]Khởi tạo => Hiện trạng => Phát triển kiến trúc mục tiêu => Kế hoạch thực hiện,[]Khởi tạo => Phát triển kiến trúc mục tiêu => Kế hoạch chuyển đổi kiến trúc => Kế hoạch thực hiện,[]Khởi tạo => Hiện trạng => Phát triển kiến trúc mục tiêu  => Kế hoạch thực hiện => Kế hoạch chuyển đổi kiến trúc
341,Nhóm tài liệu artifacts hướng về kinh doanh không bao gồm?,3.2,[X]Landscapes,[]Considerations,[]Visions,[]Outlines
342,"Considerations là nhóm tài liệu hướng quy tắc kinh doanh, phát biểu nào sau đây về nó là sai?",3.2,"[X]Được xây dựng chỉ một lần khi bắt đầu. Dù không cập nhật, artifacts vẫn duy trì tính liên tục và phản ánh chính xác ngữ cảnh kinh doanh.","[]Là tập hợp các quy tắc khái niệm và xem xét cơ bản quan trọng, chủ yếu tập trung vào cách doanh nghiệp hoạt động và có liên quan đến lĩnh vực Công nghệ Thông tin.","[]Hỗ trợ đạt được sự đồng thuận về các nguyên tắc cơ bản, giá trị, hướng đi và mục tiêu trong tổ chức.","[]Cải thiện sự nhất quán tổng thể giữa doanh nghiệp và Công nghệ Thông tin, giúp tăng cường hiệu suất và sự linh hoạt trong quyết định và thực thi kiến trúc."
343,"Technology Reference Model (TRM) là một loại tài liệu hướng Công nghệ thông tin, tài liệu đó cho ta biết gì?",3.2,[X]Cung cấp một tập hợp các tiêu chuẩn và hướng dẫn để phát triển và quản lý các kiến trúc công nghệ trong một tổ chức. Nó hoạt động như một khuôn mẫu hoặc nền tảng chung để đảm bảo rằng các kiến trúc công nghệ được xây dựng một cách nhất quán và phù hợp với các mục tiêu và chiến lược của tổ chức.,[]Các quy định dành riêng cho CNTT hoặc các phương pháp hay nhất cần tuân theo trong tất cả các dự án CNTT được nhóm theo lĩnh vực công nghệ của chúng,[]Mô tả tổng quan và chi tiết ở mức độ cao về các giải pháp Công nghệ Thông tin (IT) cụ thể được đề xuất cho doanh nghiệp,[]Những bản đồ cấu trúc và đồ họa mô tả toàn bộ các dự án IT được kế hoạch trong các lĩnh vực kinh doanh cụ thể mà mang lại giá trị kinh doanh trực tiếp
344,Trong 6 loại EA artifacts cơ bản đâu thuộc về nhóm Quy tắc hướng kinh doanh,3.2,[x] Tầm nhìn(Visions),[] Cảnh quan(Landscapes),[x] Phác thảo(Outlines),[] Thiết kế(Designs)
345,3 giai đoạn cơ sở TOGAF ADM,3.2,[] ABC,[x] BCD,[] CDE,[] DEF
346,Giai đoạn nào Hoàn thiện Roadmap Kiến trúc và hỗ trợ và thực hiện Kế hoạch migration,3.2,[] A - Tầm nhìn kiến ​trúc,[] C - Kiến trúc Hệ thống  thông tin,[x] F - Lập kế hoạch thay đổ,[] H - Quản lý thay đổi kiến ​trúc
347,Tác dụng của Roadmaps là gì,3.2,[x] cung cấp các quan diểm có cấu trúc về  các khoản đầu tư CNTT  trong tương lai  được lên kế hoạch  với các mốc thời gian dự kiến ​của chúng,"[]mô tả các kết nối cấp cao giữa các ứng dụng, cơ sở dữ liệu, nền tảng, hệ thống","[]mô tả các dự án CNTT cụ thể theo hướng kinh doanh ngắn gọn, thường bao gồm kiến ​trúc cấp cao của chúng, giá trị kinh doanh dự kiến, ước tính chi phí, rủi ro và thời hạn",[]cung cấp các công nghệ có sẵn được tiêu chuẩn hóa để sử dụng trong tất cả các dự án CNTT
348,Trọng tâm chính của thực hành EA là gì,3.2,[] tài liệu,[] công nghệ,[x] con người,[] qui tắc
349,Các bước Triển khai EA,3.2,"[x]1 Khởi tạo, 2 Hiện trạng, 3 Phát triển KT mục tiêu, 4 Kế hoạch chuyển đổi kiến trúc, 5 Kế hoạch thực hiện","[]1 Hiện trạng, 2 Khởi tạo, 3 Phát triển KT mục tiêu, 4 Kế hoạch chuyển đổi kiến trúc, 5 Kế hoạch thực hiện","[]1 Hiện trạng, 2 Phát triển KT mục tiêu, 3 Kế hoạch chuyển đổi kiến trúc, 4 Kế hoạch thực hiện, 5 Khởi tạo","[]1 Hiện trạng, 2 Khởi tạo, 3 Kế hoạch chuyển đổi kiến trúc, 4 Kế hoạch thực hiện, 5 Phát triển KT mục tiêu"
350,Mục đích kiến trúc TOGAF ADM,3.2,[]Giảm tích hợp và khả năng tương tác phức tạp và tăng tính linh hoạt cho sự thay đổi doanh nghiệp,[]Lập kế hoạch và quản lý Kiến trúc doanh nghiệp phải thống nhất và có định hướng nhằm chi phối trên toàn doanh nghiệp,[x]Cho phép giao tiếp hiệu quả và hiệu quả với người dùng / quản lý / khách hàng / nhà cung cấp,[]Tái sử dụng các giải pháp chung
351,Tính 2 mặt ngầm của EA artifacts được biểu hiện ở,3.2,[]khi các phần khác nhau của EA artifacts có liên quan đến các nhóm tác nhân khác nhau,[x]khi các phần tương tự của EA artifacts có liên quan đến các nhóm tác nhân khác nhau,[]khi các phần khác nhau của EA artifacts có liên quan đến các nhóm tác nhân tương tự,[]khi các phần tương tự của EA artifacts có liên quan đến các nhóm tác nhân tương tự
352,Quy tắc nào không phải quy tắc tập trung vào CNTT,3.2,[x]Outlines,[]Standards,[]Landscapes,[]Designs
353,Giai đoạn nào chịu trách nhiệm xây dựng chiến lược triển khai và kế hoạch triển khai kiến trúc?,3.2,[x]E,[]D,[]B,[]C
354,Giai đoạn nào tập trung vào việc quản lý sự thay đổi của kiến trúc trong quá trình triển khai?,3.2,[x]H,[]E,[]F,[]G
355,Các giai đoạn trong ADM có bắt buộc không,3.2,"[x]Không, chỉ cần thực hiện một số giai đoạn cụ thể.","[]Có, tất cả các giai đoạn đều phải được thực hiện.","[]Có, nhưng có thể lựa chọn thứ tự thực hiện","[]Không, tự do lựa chọn giai đoạn mình thích"
356,Tính 2 mặt ngầm của EA artifacts được biểu hiện ở,3.2,[]khi các phần khác nhau của EA artifacts có liên quan đến các nhóm tác nhân khác nhau,[x]khi các phần tương tự của EA artifacts có liên quan đến các nhóm tác nhân khác nhau,[]khi các phần khác nhau của EA artifacts có liên quan đến các nhóm tác nhân tương tự,[]khi các phần tương tự của EA artifacts có liên quan đến các nhóm tác nhân tương tự
357,Tại sao các hệ thống thông tin được phân thành các loại hoặc nhóm khác nhau?,4.2,[]Để tạo sự đa dạng trong doanh nghiệp,[X]Để phân chia trách nhiệm và chức năng,[]Để tăng tính linh hoạt trong hoạt động kinh doanh,[]Không có lý do cụ thể
358,Hệ thống thông tin hỗ trợ cấp độ nào của hệ thống phân cấp kinh doanh,4.2,Ra quyết định chiến lược,[X] Ra quyết định mang tính chiến thuật,Quy trình kinh doanh,
359,Loại Hệ thống thông tin nào sẽ bao gồm hệ thống ATM hoặc điểm bán hàng?,4.2,[X] Hệ thống xử lý giao dịch,Hệ thống hỗ trợ quyết định,Hệ Thống Điều Hành Thông Tin,
360,Loại báo cáo nào thường được tạo bởi Hệ thống thông tin quản lý?,4.2,[X] Báo cáo tài chính,Kế hoạch chiến lược,Thống kê sản xuất,
361,ERP là viết tắt của,4.2,[X] Enterprise Resource Planning,Executive Reporting Portal,Enterprise Rewards Program,
362,Hệ chuyên gia thuộc loại nào:,4.2,Hệ thống xử lý giao dịch,[X] Hệ thống hỗ trợ quyết định,Hệ Thống Điều Hành Thông Tin,
363,Một số thành phần phổ biến của Hệ thống cộng tác doanh nghiệp là gì?,4.2,"[X] Email, chat apps, file sharing","dashboards, reports, analytics","accounting, payroll, inventory",
364,Business actor là gì?,4.2,[X]Một thực thể tổ chức có khả năng thực hiện hành vi.,[]Một cá nhân tham gia vào một bối cảnh kinh doanh cụ thể.,[]Một nhóm người và tài nguyên tồn tại lâu dài trong tổ chức.,[]Một khách hàng hoặc nhân viên trong doanh nghiệp.
365,Transaction Processing System (TPS) - Hệ thống xử lý giao dịch có chức năng gì?,4.2,"[X]Giúp quản lý giao dịch, ghi nhận dữ liệu trong hệ thống",[]Phân tích dữ liệu dài hạn và đưa ra quyết định chiến lược cho doanh nghiệp.,[]Không liên quan đến quá trình giao tiếp và tương tác với các bộ phận khác trong tổ chức.,[]Hỗ trợ quản lý nhân sự và nguồn lực trong tổ chức
366,Phát biểu nào sau đây đúng với hệ thống hỗ trợ quyết định - Decision Support System (DSS)?,4.2,[X]Hệ thống hỗ trợ quyết định ( DSS ) là một hệ thống thông tin hỗ trợ các hoạt động ra quyết định của doanh nghiệp hoặc tổ chức.,[]Hệ thống hỗ trợ quyết định (DSS) chủ yếu được thiết kế để ghi chép và xử lý thông tin về các giao dịch kinh doanh hàng ngày của một tổ chức.,[]DSS không liên quan đến quá trình giao tiếp và tương tác với các bộ phận khác trong tổ chức.,[]Hỗ trợ quản lý nhân sự và nguồn lực trong tổ chức
367,Mục đích của hệ thống thông tin doanh nghiệp là gì?,4.2,[X]Hệ thống thông tin doanh nghiệp cung cấp một hệ thống duy nhất đóng vai trò trung tâm trong tổ chức nhằm đảm bảo thông tin có thể được chia sẻ trên tất cả các cấp chức năng và hệ thống phân cấp quản lý,[]Tập trung chủ yếu vào việc giữ và lưu trữ dữ liệu của doanh nghiệp.,[]Hỗ trợ chủ yếu quá trình sản xuất và sản phẩm của doanh nghiệp.,[]Dựa chủ yếu vào việc giải quyết các vấn đề nhỏ và hằng ngày của doanh nghiệp.
368,Danh sách nào dưới đây chỉ bao gồm các hệ thống thông tin vận hành?,4.2,"[x] PCS, TPS, ECS","[] MIS, DSS, EIS","[] PCS, TPS, MIS","[] DSS, PCS, ECS"
369,Hệ thống kinh doanh là,4.2,[x]Là một nhóm các yêu tố hoặc nhiệm vụ phu thuộc nhau,[]Một thực thể có khả năng thực hiện hành vi,[]Một hệ thống vận hành các phần của bộ máy,[]Một bộ phận trong kinh doanh
370,Quy trình nào hiệu quả nhất trong quy trình nghiệp vụ kinh daonh,4.2,[x]Quy tình chức năng chéo,[]Quy trình riêng lẻ,[]Quy trình dọc,
371,Hệ thống kinh doanh là,4.2,[x]Là một nhóm các yêu tố hoặc nhiệm vụ phu thuộc nhau,[]Một thực thể có khả năng thực hiện hành vi,[]Một hệ thống vận hành các phần của bộ máy,[]Một bộ phận trong kinh doanh
372,Quy trình nào hiệu quả nhất trong quy trình nghiệp vụ kinh daonh,4.2,[x]Quy tình chức năng chéo,[]Quy trình riêng lẻ,[]Quy trình dọc,
373,Đâu không phải là module chức năng chính của SAP?,8.2,[x] Quản lý IS,[] Quản lý chi phí vốn nhân lực,[] Quản lý chất lượng,[] Bảo trì thiết bị
374,Odoo là phần mềm kinh doanh tất cả trong một bao gồm:,8.2,[x] Tất cả các đáp án trên,[] CRM,[] Trang web/Thương mại điện tử,[] Thanh toán
375,Shopify là gì?,10.2,[x] Một nền tảng thương mại điện tử,[ ] Một loại ứng dụng xem phim trực tuyến,[ ] Một ứng dụng di động,[ ] Là tên của một game
376,Ai có thể sử dụng Shopify?,10.2,"[x] Mọi người muốn bắt đầu kinh doanh trực tuyến, từ người mới bắt đầu đến doanh nghiệp lớn",[ ] Chỉ những người không quen với công nghệ,[ ] Chỉ các doanh nghiệp lớn,[ ] Chỉ người dùng có kiến thức về lập trình
377,Chức năng chính của Shopify là gì?,10.2,[x] Hỗ trợ xây dựng và quản lý cửa hàng trực tuyến,[ ] Phân tích dữ liệu địa lý,[ ] Tạo ra ứng dụng di động,[ ] Tạo ra máy chơi game
378,Shopify cung cấp những tính năng nào cho người dùng?,10.2,"[x] Giao diện dễ sử dụng, quản lý sản phẩm, hệ thống thanh toán, quản lý đơn hàng, báo cáo và phân tích",[ ] Chỉ quảng cáo trực tuyến,[ ] Chỉ chia sẻ hình ảnh và video,[ ] Chỉ kết nối mạng xã hội
379,"Trong phương pháp phát triển kiến trúc TOGAF ADM, sơ đồ năng lực được sử dụng trong pha nào?",3.3,[x] Pha B: Kiến trúc nghiệp vụ,[] Pha A: Tầm nhìn kiến trúc,[] Pha C: Kiến trúc hệ thống thông tin,Pha D: Kiến trúc công nghệ
380,BPM là viết tắt của,,[x] Business Process Management,[] Business Program Manager,[] Business Program Management,[] Business Process Manager
381,Các thành phần BPM,,"[X] Phân tích quy trình, Con người, Công nghệ","[] Phân tích hệ thống, Con người, Công nghệ","[]  Con người, Công nghệ",[] Cả 3 đều sai
382,ERP là viết tắt của gì,,[x] Enterprise Resource Planning,[] Enterprise Resource Program,[] Enterprise Resource Process,[] Enterprise Resource Plan
383,ERP là gì,,[x] Là một loại phần mềm quản lý doanh nghiệp,[] Là một bước trong quản lý doanh nghiệp,[] Là một tiến trình quản lý doanh nghiệp,[] Cả 3 đáp án đều sai
384,Đâu là modul chức năng chính của SAP,,[x] Lập kế hoạch sản xuất,[] Quản lý nhân lực,[] Quản lý kho,[] Tối ưu kế hoạch
385,SAP là viết tắt của gì,,[x] System Application Programing,[]  System Application Program,[]  System Application Public,[]  System Application Process
386,Financial Accounting được viết tắt là gì,,[x] FI,[] FA,[] FIA,[] FIAC
387,Đâu không phải là chức năng của FI,,"[x] Báo cáo Quản lý nội bộ
","[] Báo cáo pháp lý hoặc bên ngoài
","[] Báo cáo theo tài khoản
",[] Báo cáo thu nhập
388,Đâu là chức năng của CO,,[x] Báo cáo Quản lý nội bộ,"[] Báo cáo pháp lý hoặc bên ngoài
","[] Báo cáo theo tài khoản
",[] Báo cáo thu nhập
389,Đâu là chức năng của FI,,[x] Báo cáo pháp lý hoặc bên ngoài,[] Báo cáo Quản lý nội bộ,[] Báo cáo Trung tâm Chi phí,[] Tất cả đều đúng
390,Master Data - BOM được tạo ra a dưới dạng mối quan hệ giữa,,[x] một nguyên liệu chính và một nguyên liệu phụ,[] Nhiều nguyên liệu chính và nhiều nguyên liệu phụ,[] Nhiều nguyên liệu chính và một nguyên liệu phụ,[] Tất cả đều sai
391,"Hệ thống ERP Odoo là gì
",,"[x] là phần mềm quản lý tất cả trong một cung 
cấp nhiều ứng dụng kinh doanh tạo thành một bộ ứng dụng 
quản lý doanh nghiệp hoàn chỉnh nhắm đến các công ty thuộc 
mọi quy mô.
","[] là phần mềm cung 
cấp nhiều ứng dụng kinh doanh tạo thành một bộ ứng dụng 
quản lý doanh nghiệp hoàn chỉnh nhắm đến các công ty thuộc 
mọi quy mô.
","[] là phần mềm cung 
cấp nhiều kế hoạch kinh doanh tạo thành một bộ ứng dụng 
quản lý doanh nghiệp hoàn chỉnh nhắm đến các công ty thuộc 
mọi quy mô.
",[] Tất cả đều sai
392,Phát biểu đúng ?,,[x]  Hệ thống ERP củng cố và tập trung tất cả thông tin,[]  Hệ thống ERP thu thập và tập trung tất cả thông tin,[]  Hệ thống ERP thu thập và củng cố tất cả thông tin,[]  A và B đều đúng
393,Các bước trong khung MODAF,,"[] Xác định những gì sẽ được mô hình hóa
",[] Xây dựng mô hình doanh nghiệp,"[] Các yếu tố mô hình và các mối quan hệ
trong mô hình doanh nghiệp
",[x] Cả 3 đáp án trên đều đúng
394,Vai trò của kiến trúc sư phần mềm,,[x] Người chuyển tiếp giữa nhóm  phát triển phần mềm và doanh nghiệp,[x] Là người lãnh đạo để đảm bảo rằng các yêu cầu của bạn sẽ được đáp ứng,[] Giữ cho doanh nghiệp hoạt động trơn tru,[] là người đảm bảo chiến lược CNTT phù hợp với mục tiêu kinh doanh của tổ chức
395,Đâu là không phải đặc điểm của hệ thống ERP,,[] Cơ sở dữ liệu chung,[] UX/UI nhất quán,[x] Tích hợp quy trình quản lý,[] Phân tích dữ liệu
396,Đâu không phải nhược điểm của hệ thống ERP,,[] Chi phí hệ thống cao,[] Nhu cầu đào tạo,[] Chi phí chuyển đổi dữ liệu,[x] Thiếu tính linh hoạt
397,Kiến trúc Doanh nghiệp(EA) bao gồm những lĩnh vực nào sau đây?,,"[]Tài chính, tiếp thị, tuyển dụng","[x]Kinh doanh, dữ liệu, công nghệ","[]Bán hàng, Dịch vụ, Nghiên cứu","[]Sản xuất, Đảm bảo chất lượng, Chuỗi cung ứng"
398,Thách thức chính mà các tổ chức thường gặp khi triển khai Enterprise Architecture là gì,,[]Thiếu nguồn lực tài chính,[]Khó khăn trong việc thay đổi văn hóa tổ chức,[]Thiếu chuyên gia kiến trúc,[x]Tất cả các phương án trên
