STT,Câu hỏi,Chương,A,B,C,D,correct_answer
341,Nhóm tài liệu artifacts hướng về kinh doanh không bao gồm?,3.2,XLandscapes,Considerations,Visions,Outlines,A
342,"Considerations là nhóm tài liệu hướng quy tắc kinh doanh, phát biểu nào sau đây về nó là sai?",3.2,"XĐược xây dựng chỉ một lần khi bắt đầu. Dù không cập nhật, artifacts vẫn duy trì tính liên tục và phản ánh chính xác ngữ cảnh kinh doanh.","Là tập hợp các quy tắc khái niệm và xem xét cơ bản quan trọng, chủ yếu tập trung vào cách doanh nghiệp hoạt động và có liên quan đến lĩnh vực Công nghệ Thông tin.","Hỗ trợ đạt được sự đồng thuận về các nguyên tắc cơ bản, giá trị, hướng đi và mục tiêu trong tổ chức.","Cải thiện sự nhất quán tổng thể giữa doanh nghiệp và Công nghệ Thông tin, giúp tăng cường hiệu suất và sự linh hoạt trong quyết định và thực thi kiến trúc.","A, B"
343,"Technology Reference Model (TRM) là một loại tài liệu hướng Công nghệ thông tin, tài liệu đó cho ta biết gì?",3.2,XCung cấp một tập hợp các tiêu chuẩn và hướng dẫn để phát triển và quản lý các kiến trúc công nghệ trong một tổ chức. Nó hoạt động như một khuôn mẫu hoặc nền tảng chung để đảm bảo rằng các kiến trúc công nghệ được xây dựng một cách nhất quán và phù hợp với các mục tiêu và chiến lược của tổ chức.,Các quy định dành riêng cho CNTT hoặc các phương pháp hay nhất cần tuân theo trong tất cả các dự án CNTT được nhóm theo lĩnh vực công nghệ của chúng,Mô tả tổng quan và chi tiết ở mức độ cao về các giải pháp Công nghệ Thông tin (IT) cụ thể được đề xuất cho doanh nghiệp,Những bản đồ cấu trúc và đồ họa mô tả toàn bộ các dự án IT được kế hoạch trong các lĩnh vực kinh doanh cụ thể mà mang lại giá trị kinh doanh trực tiếp,"A, C"
344,Trong 6 loại EA artifacts cơ bản đâu thuộc về nhóm Quy tắc hướng kinh doanh,3.2,Tầm nhìn(Visions),Cảnh quan(Landscapes),Phác thảo(Outlines),Thiết kế(Designs),"A, C"
345,3 giai đoạn cơ sở TOGAF ADM,3.2,ABC,BCD,CDE,DEF,B
346,Giai đoạn nào Hoàn thiện Roadmap Kiến trúc và hỗ trợ và thực hiện Kế hoạch migration,3.2,A - Tầm nhìn kiến ​trúc,C - Kiến trúc Hệ thống  thông tin,F - Lập kế hoạch thay đổ,H - Quản lý thay đổi kiến ​trúc,C
347,Tác dụng của Roadmaps là gì,3.2,cung cấp các quan diểm có cấu trúc về  các khoản đầu tư CNTT  trong tương lai  được lên kế hoạch  với các mốc thời gian dự kiến ​của chúng,"mô tả các kết nối cấp cao giữa các ứng dụng, cơ sở dữ liệu, nền tảng, hệ thống","mô tả các dự án CNTT cụ thể theo hướng kinh doanh ngắn gọn, thường bao gồm kiến ​trúc cấp cao của chúng, giá trị kinh doanh dự kiến, ước tính chi phí, rủi ro và thời hạn",cung cấp các công nghệ có sẵn được tiêu chuẩn hóa để sử dụng trong tất cả các dự án CNTT,A
348,Trọng tâm chính của thực hành EA là gì,3.2,tài liệu,công nghệ,con người,qui tắc,C
349,Các bước Triển khai EA,3.2,"1 Khởi tạo, 2 Hiện trạng, 3 Phát triển KT mục tiêu, 4 Kế hoạch chuyển đổi kiến trúc, 5 Kế hoạch thực hiện","1 Hiện trạng, 2 Khởi tạo, 3 Phát triển KT mục tiêu, 4 Kế hoạch chuyển đổi kiến trúc, 5 Kế hoạch thực hiện","1 Hiện trạng, 2 Phát triển KT mục tiêu, 3 Kế hoạch chuyển đổi kiến trúc, 4 Kế hoạch thực hiện, 5 Khởi tạo","1 Hiện trạng, 2 Khởi tạo, 3 Kế hoạch chuyển đổi kiến trúc, 4 Kế hoạch thực hiện, 5 Phát triển KT mục tiêu",A
350,Mục đích kiến trúc TOGAF ADM,3.2,Giảm tích hợp và khả năng tương tác phức tạp và tăng tính linh hoạt cho sự thay đổi doanh nghiệp,Lập kế hoạch và quản lý Kiến trúc doanh nghiệp phải thống nhất và có định hướng nhằm chi phối trên toàn doanh nghiệp,Cho phép giao tiếp hiệu quả và hiệu quả với người dùng / quản lý / khách hàng / nhà cung cấp,Tái sử dụng các giải pháp chung,C
351,Tính 2 mặt ngầm của EA artifacts được biểu hiện ở,3.2,khi các phần khác nhau của EA artifacts có liên quan đến các nhóm tác nhân khác nhau,khi các phần tương tự của EA artifacts có liên quan đến các nhóm tác nhân khác nhau,khi các phần khác nhau của EA artifacts có liên quan đến các nhóm tác nhân tương tự,khi các phần tương tự của EA artifacts có liên quan đến các nhóm tác nhân tương tự,B
352,Quy tắc nào không phải quy tắc tập trung vào CNTT,3.2,Outlines,Standards,Landscapes,Designs,A
353,Giai đoạn nào chịu trách nhiệm xây dựng chiến lược triển khai và kế hoạch triển khai kiến trúc?,3.2,E,D,B,C,A
354,Giai đoạn nào tập trung vào việc quản lý sự thay đổi của kiến trúc trong quá trình triển khai?,3.2,H,E,F,G,A
355,Các giai đoạn trong ADM có bắt buộc không,3.2,"Không, chỉ cần thực hiện một số giai đoạn cụ thể.","Có, tất cả các giai đoạn đều phải được thực hiện.","Có, nhưng có thể lựa chọn thứ tự thực hiện","Không, tự do lựa chọn giai đoạn mình thích",A
356,Tính 2 mặt ngầm của EA artifacts được biểu hiện ở,3.2,khi các phần khác nhau của EA artifacts có liên quan đến các nhóm tác nhân khác nhau,khi các phần tương tự của EA artifacts có liên quan đến các nhóm tác nhân khác nhau,khi các phần khác nhau của EA artifacts có liên quan đến các nhóm tác nhân tương tự,khi các phần tương tự của EA artifacts có liên quan đến các nhóm tác nhân tương tự,B
357,Tại sao các hệ thống thông tin được phân thành các loại hoặc nhóm khác nhau?,4.2,Để tạo sự đa dạng trong doanh nghiệp,XĐể phân chia trách nhiệm và chức năng,Để tăng tính linh hoạt trong hoạt động kinh doanh,Không có lý do cụ thể,B
358,Hệ thống thông tin hỗ trợ cấp độ nào của hệ thống phân cấp kinh doanh,4.2,Ra quyết định chiến lược,X Ra quyết định mang tính chiến thuật,Quy trình kinh doanh,,B
359,Loại Hệ thống thông tin nào sẽ bao gồm hệ thống ATM hoặc điểm bán hàng?,4.2,X Hệ thống xử lý giao dịch,Hệ thống hỗ trợ quyết định,Hệ Thống Điều Hành Thông Tin,,A
360,Loại báo cáo nào thường được tạo bởi Hệ thống thông tin quản lý?,4.2,X Báo cáo tài chính,Kế hoạch chiến lược,Thống kê sản xuất,,"A, C"
361,ERP là viết tắt của,4.2,X Enterprise Resource Planning,Executive Reporting Portal,Enterprise Rewards Program,,"A, B"
362,Hệ chuyên gia thuộc loại nào:,4.2,Hệ thống xử lý giao dịch,X Hệ thống hỗ trợ quyết định,Hệ Thống Điều Hành Thông Tin,,"A, B"
363,Một số thành phần phổ biến của Hệ thống cộng tác doanh nghiệp là gì?,4.2,"X Email, chat apps, file sharing","dashboards, reports, analytics","accounting, payroll, inventory",,A
364,Business actor là gì?,4.2,XMột thực thể tổ chức có khả năng thực hiện hành vi.,Một cá nhân tham gia vào một bối cảnh kinh doanh cụ thể.,Một nhóm người và tài nguyên tồn tại lâu dài trong tổ chức.,Một khách hàng hoặc nhân viên trong doanh nghiệp.,A
365,Transaction Processing System (TPS) - Hệ thống xử lý giao dịch có chức năng gì?,4.2,"XGiúp quản lý giao dịch, ghi nhận dữ liệu trong hệ thống",Phân tích dữ liệu dài hạn và đưa ra quyết định chiến lược cho doanh nghiệp.,Không liên quan đến quá trình giao tiếp và tương tác với các bộ phận khác trong tổ chức.,Hỗ trợ quản lý nhân sự và nguồn lực trong tổ chức,A
366,Phát biểu nào sau đây đúng với hệ thống hỗ trợ quyết định - Decision Support System (DSS)?,4.2,XHệ thống hỗ trợ quyết định ( DSS ) là một hệ thống thông tin hỗ trợ các hoạt động ra quyết định của doanh nghiệp hoặc tổ chức.,Hệ thống hỗ trợ quyết định (DSS) chủ yếu được thiết kế để ghi chép và xử lý thông tin về các giao dịch kinh doanh hàng ngày của một tổ chức.,DSS không liên quan đến quá trình giao tiếp và tương tác với các bộ phận khác trong tổ chức.,Hỗ trợ quản lý nhân sự và nguồn lực trong tổ chức,"A, B"
367,Mục đích của hệ thống thông tin doanh nghiệp là gì?,4.2,XHệ thống thông tin doanh nghiệp cung cấp một hệ thống duy nhất đóng vai trò trung tâm trong tổ chức nhằm đảm bảo thông tin có thể được chia sẻ trên tất cả các cấp chức năng và hệ thống phân cấp quản lý,Tập trung chủ yếu vào việc giữ và lưu trữ dữ liệu của doanh nghiệp.,Hỗ trợ chủ yếu quá trình sản xuất và sản phẩm của doanh nghiệp.,Dựa chủ yếu vào việc giải quyết các vấn đề nhỏ và hằng ngày của doanh nghiệp.,"A, C"
368,Danh sách nào dưới đây chỉ bao gồm các hệ thống thông tin vận hành?,4.2,"PCS, TPS, ECS","MIS, DSS, EIS","PCS, TPS, MIS","DSS, PCS, ECS",A
369,Hệ thống kinh doanh là,4.2,Là một nhóm các yêu tố hoặc nhiệm vụ phu thuộc nhau,Một thực thể có khả năng thực hiện hành vi,Một hệ thống vận hành các phần của bộ máy,Một bộ phận trong kinh doanh,A
370,Quy trình nào hiệu quả nhất trong quy trình nghiệp vụ kinh daonh,4.2,Quy tình chức năng chéo,Quy trình riêng lẻ,Quy trình dọc,,A
371,Hệ thống kinh doanh là,4.2,Là một nhóm các yêu tố hoặc nhiệm vụ phu thuộc nhau,Một thực thể có khả năng thực hiện hành vi,Một hệ thống vận hành các phần của bộ máy,Một bộ phận trong kinh doanh,A
372,Quy trình nào hiệu quả nhất trong quy trình nghiệp vụ kinh daonh,4.2,Quy tình chức năng chéo,Quy trình riêng lẻ,Quy trình dọc,,A
373,Đâu không phải là module chức năng chính của SAP?,8.2,Quản lý IS,Quản lý chi phí vốn nhân lực,Quản lý chất lượng,Bảo trì thiết bị,A
374,Odoo là phần mềm kinh doanh tất cả trong một bao gồm:,8.2,Tất cả các đáp án trên,CRM,Trang web/Thương mại điện tử,Thanh toán,A
375,Shopify là gì?,10.2,Một nền tảng thương mại điện tử,Một loại ứng dụng xem phim trực tuyến,Một ứng dụng di động,Là tên của một game,"A, B"
376,Ai có thể sử dụng Shopify?,10.2,"Mọi người muốn bắt đầu kinh doanh trực tuyến, từ người mới bắt đầu đến doanh nghiệp lớn",Chỉ những người không quen với công nghệ,Chỉ các doanh nghiệp lớn,Chỉ người dùng có kiến thức về lập trình,A
377,Chức năng chính của Shopify là gì?,10.2,Hỗ trợ xây dựng và quản lý cửa hàng trực tuyến,Phân tích dữ liệu địa lý,Tạo ra ứng dụng di động,Tạo ra máy chơi game,A
378,Shopify cung cấp những tính năng nào cho người dùng?,10.2,"Giao diện dễ sử dụng, quản lý sản phẩm, hệ thống thanh toán, quản lý đơn hàng, báo cáo và phân tích",Chỉ quảng cáo trực tuyến,Chỉ chia sẻ hình ảnh và video,Chỉ kết nối mạng xã hội,"A, D"
379,"Trong phương pháp phát triển kiến trúc TOGAF ADM, sơ đồ năng lực được sử dụng trong pha nào?",3.3,Pha B: Kiến trúc nghiệp vụ,Pha A: Tầm nhìn kiến trúc,Pha C: Kiến trúc hệ thống thông tin,Pha D: Kiến trúc công nghệ,A
380,BPM là viết tắt của,,Business Process Management,Business Program Manager,Business Program Management,Business Process Manager,A
381,Các thành phần BPM,,"X Phân tích quy trình, Con người, Công nghệ","Phân tích hệ thống, Con người, Công nghệ","Con người, Công nghệ",Cả 3 đều sai,A
382,ERP là viết tắt của gì,,Enterprise Resource Planning,Enterprise Resource Program,Enterprise Resource Process,Enterprise Resource Plan,A
383,ERP là gì,,Là một loại phần mềm quản lý doanh nghiệp,Là một bước trong quản lý doanh nghiệp,Là một tiến trình quản lý doanh nghiệp,Cả 3 đáp án đều sai,A
384,Đâu là modul chức năng chính của SAP,,Lập kế hoạch sản xuất,Quản lý nhân lực,Quản lý kho,Tối ưu kế hoạch,A
385,SAP là viết tắt của gì,,System Application Programing,System Application Program,System Application Public,System Application Process,A
386,Financial Accounting được viết tắt là gì,,FI,FA,FIA,FIAC,A
387,Đâu không phải là chức năng của FI,,Báo cáo Quản lý nội bộ,Báo cáo pháp lý hoặc bên ngoài,Báo cáo theo tài khoản,Báo cáo thu nhập,A
388,Đâu là chức năng của CO,,Báo cáo Quản lý nội bộ,Báo cáo pháp lý hoặc bên ngoài,Báo cáo theo tài khoản,Báo cáo thu nhập,A
389,Đâu là chức năng của FI,,Báo cáo pháp lý hoặc bên ngoài,Báo cáo Quản lý nội bộ,Báo cáo Trung tâm Chi phí,Tất cả đều đúng,A
390,Master Data - BOM được tạo ra a dưới dạng mối quan hệ giữa,,một nguyên liệu chính và một nguyên liệu phụ,Nhiều nguyên liệu chính và nhiều nguyên liệu phụ,Nhiều nguyên liệu chính và một nguyên liệu phụ,Tất cả đều sai,A
391,"Hệ thống ERP Odoo là gì
",,"là phần mềm quản lý tất cả trong một cung 
cấp nhiều ứng dụng kinh doanh tạo thành một bộ ứng dụng 
quản lý doanh nghiệp hoàn chỉnh nhắm đến các công ty thuộc 
mọi quy mô.","là phần mềm cung 
cấp nhiều ứng dụng kinh doanh tạo thành một bộ ứng dụng 
quản lý doanh nghiệp hoàn chỉnh nhắm đến các công ty thuộc 
mọi quy mô.","là phần mềm cung 
cấp nhiều kế hoạch kinh doanh tạo thành một bộ ứng dụng 
quản lý doanh nghiệp hoàn chỉnh nhắm đến các công ty thuộc 
mọi quy mô.",Tất cả đều sai,A
392,Phát biểu đúng ?,,Hệ thống ERP củng cố và tập trung tất cả thông tin,Hệ thống ERP thu thập và tập trung tất cả thông tin,Hệ thống ERP thu thập và củng cố tất cả thông tin,A và B đều đúng,A
393,Các bước trong khung MODAF,,Xác định những gì sẽ được mô hình hóa,Xây dựng mô hình doanh nghiệp,"Các yếu tố mô hình và các mối quan hệ
trong mô hình doanh nghiệp",Cả 3 đáp án trên đều đúng,"A, B, D"
394,Vai trò của kiến trúc sư phần mềm,,Người chuyển tiếp giữa nhóm  phát triển phần mềm và doanh nghiệp,Là người lãnh đạo để đảm bảo rằng các yêu cầu của bạn sẽ được đáp ứng,Giữ cho doanh nghiệp hoạt động trơn tru,là người đảm bảo chiến lược CNTT phù hợp với mục tiêu kinh doanh của tổ chức,"A, B"
395,Đâu là không phải đặc điểm của hệ thống ERP,,Cơ sở dữ liệu chung,UX/UI nhất quán,Tích hợp quy trình quản lý,Phân tích dữ liệu,"B, C"
396,Đâu không phải nhược điểm của hệ thống ERP,,Chi phí hệ thống cao,Nhu cầu đào tạo,Chi phí chuyển đổi dữ liệu,Thiếu tính linh hoạt,D
397,Kiến trúc Doanh nghiệp(EA) bao gồm những lĩnh vực nào sau đây?,,"Tài chính, tiếp thị, tuyển dụng","Kinh doanh, dữ liệu, công nghệ","Bán hàng, Dịch vụ, Nghiên cứu","Sản xuất, Đảm bảo chất lượng, Chuỗi cung ứng","B, D"
398,Thách thức chính mà các tổ chức thường gặp khi triển khai Enterprise Architecture là gì,,Thiếu nguồn lực tài chính,Khó khăn trong việc thay đổi văn hóa tổ chức,Thiếu chuyên gia kiến trúc,Tất cả các phương án trên,D
